state_id,serial_id,historical_C_status,frozen_C_status,joint_C_status
failed-only-best-6,89,improved,improved,unqualified
failed-only-best-6,90,regressed,improved,unqualified
failed-only-best-6,91,improved,improved,unqualified
failed-only-best-6,92,improved,improved,unqualified
failed-only-best-6,93,regressed,improved,unqualified
failed-only-best-6,94,improved,regressed,unqualified
failed-only-best-6,95,regressed,regressed,unqualified
failed-only-best-6,96,regressed,regressed,unqualified
failed-only-best-6,97,improved,regressed,unqualified
failed-only-best-6,98,regressed,improved,unqualified
failed-only-best-6,99,improved,regressed,unqualified
failed-only-best-6,100,regressed,regressed,unqualified
failed-only-best-6,101,regressed,improved,unqualified
failed-only-best-6,102,regressed,regressed,unqualified
failed-only-best-6,103,improved,improved,unqualified
failed-only-best-6,104,improved,regressed,unqualified
failed-only-best-6,105,improved,improved,unqualified
failed-only-best-6,106,regressed,regressed,unqualified
failed-only-best-6,107,improved,improved,unqualified
failed-only-best-6,108,improved,improved,unqualified
failed-only-best-6,109,improved,regressed,unqualified
failed-only-best-6,110,improved,improved,unqualified
failed-only-best-6,111,regressed,regressed,unqualified
failed-only-best-6,112,improved,regressed,unqualified
failed-only-best-6,113,regressed,improved,unqualified
failed-only-best-6,114,improved,regressed,unqualified
failed-only-best-6,115,regressed,regressed,unqualified
failed-only-best-6,116,regressed,improved,unqualified
failed-only-best-6,117,improved,improved,unqualified
failed-only-best-6,118,improved,regressed,unqualified
failed-only-best-6,119,improved,improved,unqualified
failed-only-best-6,120,regressed,regressed,unqualified
failed-only-best-6,121,improved,improved,unqualified
failed-only-best-6,122,improved,regressed,unqualified
failed-only-best-6,123,regressed,regressed,unqualified
failed-only-best-6,124,regressed,improved,unqualified
failed-only-best-6,125,improved,improved,unqualified
failed-only-best-6,126,regressed,improved,unqualified
failed-only-best-6,127,improved,improved,unqualified
failed-only-best-6,128,improved,improved,unqualified
failed-only-best-6,129,improved,improved,unqualified
failed-only-best-6,130,regressed,improved,unqualified
failed-only-best-6,131,improved,improved,unqualified
failed-only-best-6,132,regressed,regressed,unqualified
failed-only-best-6,133,improved,improved,unqualified
failed-only-best-6,134,improved,improved,unqualified
failed-only-best-6,135,regressed,regressed,unqualified
failed-only-best-6,136,improved,improved,unqualified
failed-only-best-6,137,improved,improved,unqualified
failed-only-best-6,138,improved,improved,unqualified
failed-only-best-6,139,improved,improved,unqualified
failed-only-best-6,140,regressed,regressed,unqualified
failed-only-best-6,141,regressed,regressed,unqualified
failed-only-best-6,142,regressed,regressed,unqualified
failed-only-best-6,143,improved,improved,unqualified
failed-only-best-6,144,improved,regressed,unqualified
failed-only-best-6,145,regressed,improved,unqualified
failed-only-best-6,146,improved,improved,unqualified
failed-only-best-6,147,improved,regressed,unqualified
failed-only-best-6,148,improved,regressed,unqualified
failed-only-best-6,149,regressed,improved,unqualified
failed-only-best-6,150,regressed,regressed,unqualified
failed-only-best-6,151,improved,improved,unqualified
failed-only-best-6,152,improved,improved,unqualified
failed-only-best-6,153,improved,improved,unqualified
failed-only-best-6,154,regressed,regressed,unqualified
failed-only-best-6,155,improved,improved,unqualified
failed-only-best-6,156,regressed,regressed,unqualified
failed-only-best-6,157,improved,improved,unqualified
failed-only-best-6,158,improved,regressed,unqualified
failed-only-best-6,159,improved,regressed,unqualified
failed-only-best-6,160,improved,improved,unqualified
failed-only-best-6,161,regressed,improved,unqualified
failed-only-best-6,162,regressed,improved,unqualified
failed-only-best-6,163,improved,improved,unqualified
failed-only-best-6,164,improved,improved,unqualified
failed-only-best-6,165,regressed,regressed,unqualified
failed-only-best-6,166,improved,regressed,unqualified
failed-only-best-6,167,regressed,improved,unqualified
failed-only-best-6,168,regressed,regressed,unqualified
failed-only-recovery-10,1,improved,improved,unqualified
failed-only-recovery-10,2,improved,improved,unqualified
failed-only-recovery-10,3,regressed,improved,unqualified
failed-only-recovery-10,4,improved,improved,unqualified
failed-only-recovery-10,5,improved,regressed,unqualified
failed-only-recovery-10,6,regressed,improved,unqualified
failed-only-recovery-10,7,regressed,improved,unqualified
failed-only-recovery-10,8,improved,regressed,unqualified
failed-only-recovery-10,9,improved,improved,unqualified
failed-only-recovery-10,10,regressed,regressed,unqualified
failed-only-recovery-10,11,regressed,regressed,unqualified
failed-only-recovery-10,12,improved,improved,unqualified
failed-only-recovery-10,13,regressed,regressed,unqualified
failed-only-recovery-10,14,improved,regressed,unqualified
failed-only-recovery-10,15,regressed,improved,unqualified
failed-only-recovery-10,16,regressed,improved,unqualified
failed-only-recovery-10,17,improved,regressed,unqualified
failed-only-recovery-10,18,improved,regressed,unqualified
failed-only-recovery-10,19,regressed,regressed,unqualified
failed-only-recovery-10,20,improved,regressed,unqualified
failed-only-recovery-10,21,improved,improved,unqualified
failed-only-recovery-10,22,improved,improved,unqualified
failed-only-recovery-10,23,regressed,improved,unqualified
failed-only-recovery-10,24,improved,improved,unqualified
failed-only-recovery-10,25,regressed,improved,unqualified
failed-only-recovery-10,26,regressed,improved,unqualified
failed-only-recovery-10,27,regressed,improved,unqualified
failed-only-recovery-10,28,improved,regressed,unqualified
failed-only-recovery-10,29,improved,regressed,unqualified
failed-only-recovery-10,30,improved,regressed,unqualified
failed-only-recovery-10,31,regressed,regressed,unqualified
failed-only-recovery-10,32,regressed,improved,unqualified
failed-only-recovery-10,33,regressed,improved,unqualified
failed-only-recovery-10,34,improved,regressed,unqualified
failed-only-recovery-10,35,regressed,improved,unqualified
failed-only-recovery-10,36,improved,improved,unqualified
failed-only-recovery-10,37,regressed,improved,unqualified
failed-only-recovery-10,38,regressed,regressed,unqualified
failed-only-recovery-10,39,regressed,improved,unqualified
failed-only-recovery-10,40,regressed,improved,unqualified
failed-only-recovery-10,41,regressed,regressed,unqualified
failed-only-recovery-10,42,improved,improved,unqualified
failed-only-recovery-10,43,regressed,regressed,unqualified
failed-only-recovery-10,44,regressed,improved,unqualified
failed-only-recovery-10,45,improved,regressed,unqualified
failed-only-recovery-10,46,regressed,regressed,unqualified
failed-only-recovery-10,47,improved,improved,unqualified
failed-only-recovery-10,48,improved,improved,unqualified
failed-only-recovery-10,49,improved,regressed,unqualified
failed-only-recovery-10,50,regressed,improved,unqualified
failed-only-recovery-10,51,regressed,regressed,unqualified
failed-only-recovery-10,52,improved,regressed,unqualified
failed-only-recovery-10,53,regressed,regressed,unqualified
failed-only-recovery-10,54,improved,regressed,unqualified
failed-only-recovery-10,55,regressed,improved,unqualified
failed-only-recovery-10,56,improved,improved,unqualified
failed-only-recovery-10,57,improved,regressed,unqualified
failed-only-recovery-10,58,improved,improved,unqualified
failed-only-recovery-10,59,improved,regressed,unqualified
failed-only-recovery-10,60,regressed,improved,unqualified
failed-only-recovery-10,61,regressed,improved,unqualified
failed-only-recovery-10,62,regressed,improved,unqualified
failed-only-recovery-10,63,regressed,improved,unqualified
failed-only-recovery-10,64,improved,improved,unqualified
failed-only-recovery-10,65,regressed,regressed,unqualified
failed-only-recovery-10,66,improved,regressed,unqualified
failed-only-recovery-10,67,improved,improved,unqualified
failed-only-recovery-10,68,regressed,regressed,unqualified
failed-only-recovery-10,69,regressed,improved,unqualified
failed-only-recovery-10,70,improved,improved,unqualified
failed-only-recovery-10,71,improved,regressed,unqualified
failed-only-recovery-10,72,improved,improved,unqualified
failed-only-recovery-10,73,regressed,improved,unqualified
failed-only-recovery-10,74,improved,improved,unqualified
failed-only-recovery-10,75,regressed,improved,unqualified
failed-only-recovery-10,76,improved,regressed,unqualified
failed-only-recovery-10,77,regressed,improved,unqualified
failed-only-recovery-10,78,improved,improved,unqualified
failed-only-recovery-10,79,improved,regressed,unqualified
failed-only-recovery-10,80,improved,improved,unqualified
failed-only-recovery-10,81,regressed,regressed,unqualified
failed-only-recovery-10,82,improved,improved,unqualified
failed-only-recovery-10,83,regressed,regressed,unqualified
failed-only-recovery-10,84,improved,improved,unqualified
failed-only-recovery-10,85,improved,improved,unqualified
failed-only-recovery-10,86,improved,regressed,unqualified
failed-only-recovery-10,87,regressed,regressed,unqualified
failed-only-recovery-10,88,improved,improved,unqualified
failed-only-recovery-10,89,improved,improved,unqualified
failed-only-recovery-10,90,regressed,improved,unqualified
failed-only-recovery-10,91,improved,improved,unqualified
