dataset,variant,case,legacy_joint_qualified,regular_qualified,failures,unavailable,derivative_status,local_correction_source,replay_passed,oracle_recovered,float32_accuracy_passed,rss,stop_reason
near-0.02,guarded,wider-double,False,True,,,verified,independent-100-digit-QR,True,True,False,1.3775392181569793e-27,native-lm-stop
near-0.02,guarded,mixed-double,False,True,,,verified,independent-100-digit-QR,True,True,False,2.4261864784671468e-27,native-lm-stop
near-0.02,guarded,first-stage-float32,False,True,,,verified,independent-100-digit-QR,True,False,True,6.002458958099899e-12,native-lm-stop
near-0.02,guarded,narrower-float32,False,True,,,verified,independent-100-digit-QR,True,False,True,6.002458960388897e-12,native-lm-stop
near-0.02,guarded,wider-float32,False,True,,,verified,independent-100-digit-QR,True,False,True,6.002458956714388e-12,native-lm-stop
near-0.02,guarded,mixed-float32,False,True,,,verified,independent-100-digit-QR,True,False,True,6.002458958025575e-12,native-lm-stop
near-0.02,guarded-log,first-stage-double,False,True,,,verified,independent-100-digit-QR,True,True,False,1.384133339444469e-27,native-lm-stop
near-0.02,guarded-log,narrower-double,False,True,,,verified,independent-100-digit-QR,True,True,False,1.8953991341188512e-27,native-lm-stop
near-0.02,guarded-log,wider-double,False,True,,,verified,independent-100-digit-QR,True,True,False,1.6719493885373264e-27,native-lm-stop
near-0.02,guarded-log,mixed-double,False,True,,,verified,independent-100-digit-QR,True,True,False,2.0885842064127646e-27,native-lm-stop
near-0.02,guarded-log,first-stage-float32,False,True,,,verified,independent-100-digit-QR,True,False,True,6.002458958099899e-12,native-lm-stop
near-0.02,guarded-log,narrower-float32,False,True,,,verified,independent-100-digit-QR,True,False,True,6.002458959780386e-12,native-lm-stop
near-0.02,guarded-log,wider-float32,False,True,,,verified,independent-100-digit-QR,True,False,True,6.002458955863291e-12,native-lm-stop
near-0.02,guarded-log,mixed-float32,False,True,,,verified,independent-100-digit-QR,True,False,True,6.002458957521235e-12,native-lm-stop
duplicate,legacy,first-stage-double,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,legacy,narrower-double,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,legacy,wider-double,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,legacy,mixed-double,False,False,identified;derivative,,transition-unverified,legacy-double-QR,True,,,1.917549547163144e-27,native-lm-stop
duplicate,legacy,first-stage-float32,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,legacy,narrower-float32,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,legacy,wider-float32,False,False,search_completed,inner;b_gradient;local_correction;identified;derivative;endpoint_replay;endpoint_trust;regular_active_face,unavailable,legacy-double-QR,,,,,inner-rank-deficient
duplicate,legacy,mixed-float32,False,False,identified;derivative;regular_active_face,,transition-unverified,legacy-double-QR,True,,,5.94965761691359e-12,native-lm-stop
